symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
IF99,,IF99,20140623,00:00:00,2137.5632,2151.0329,2124.8714,2125.9999,617860.0
IF99,,IF99,20140624,00:00:00,2123.5351,2142.077,2122.8749,2134.9166,592677.0
IF99,,IF99,20140625,00:00:00,2133.7836,2136.6935,2118.0797,2129.0553,572754.0
IF99,,IF99,20140626,00:00:00,2130.9208,2149.4671,2130.7297,2138.6407,649664.0
IF99,,IF99,20140627,00:00:00,2138.6545,2158.6754,2131.3446,2146.0328,612542.0
IF99,,IF99,20140630,00:00:00,2146.6034,2169.1524,2146.2838,2157.2569,630336.0
IF99,,IF99,20140701,00:00:00,2160.5874,2172.9518,2149.2006,2159.3078,544085.0
IF99,,IF99,20140702,00:00:00,2161.4739,2168.2033,2146.3758,2166.5565,648794.0
IF99,,IF99,20140703,00:00:00,2168.8871,2182.348,2160.9061,2170.6936,681084.0
IF99,,IF99,20140704,00:00:00,2174.1924,2176.1322,2164.1675,2169.5297,487074.0
IF99,,IF99,20140707,00:00:00,2169.226,2176.9918,2159.4014,2165.005,506669.0
IF99,,IF99,20140708,00:00:00,2164.383,2170.3017,2152.7823,2168.7071,566224.0
IF99,,IF99,20140709,00:00:00,2166.7294,2169.1994,2132.8297,2133.3278,605910.0
IF99,,IF99,20140710,00:00:00,2135.0865,2141.8798,2130.1679999999997,2134.015,407064.0
IF99,,IF99,20140711,00:00:00,2132.004,2151.8505,2131.8843,2139.408,595060.0
IF99,,IF99,20140714,00:00:00,2142.238,2167.0825,2139.7449,2164.0499,599861.0
IF99,,IF99,20140715,00:00:00,2166.449,2170.1332,2158.4438,2163.6036,485925.0
IF99,,IF99,20140716,00:00:00,2165.2596,2175.3806,2161.3357,2162.7641,559246.0
IF99,,IF99,20140717,00:00:00,2163.6782,2165.0561,2142.2996,2154.0779,602348.0
IF99,,IF99,20140718,00:00:00,2147.9754,2173.0502,2146.2679,2159.9135,738421.0
IF99,,IF99,20140721,00:00:00,2160.4122,2166.8898,2151.7961,2158.8243,470894.0
IF99,,IF99,20140722,00:00:00,2157.6623,2197.6442,2152.4419,2188.1188,722314.0
IF99,,IF99,20140723,00:00:00,2189.4811,2208.7564,2183.5577,2191.988,658445.0
IF99,,IF99,20140724,00:00:00,2193.1299,2244.8964,2191.6833,2242.7527,946945.0
IF99,,IF99,20140725,00:00:00,2244.8591,2282.3704,2241.5361,2278.0697,660120.0
IF99,,IF99,20140728,00:00:00,2279.5029,2360.55,2278.5098,2339.8196,990968.0
IF99,,IF99,20140729,00:00:00,2343.7317,2362.8564,2332.7506,2339.3258,748813.0
IF99,,IF99,20140730,00:00:00,2334.1368,2351.9124,2328.6578,2333.0772,774154.0
IF99,,IF99,20140731,00:00:00,2333.3026,2376.0034,2327.3984,2375.5703,846249.0
IF99,,IF99,20140801,00:00:00,2369.7867,2397.4452,2338.388,2347.6869,1036118.0
IF99,,IF99,20140804,00:00:00,2348.471,2398.5494,2348.1002,2392.578,996064.0
IF99,,IF99,20140805,00:00:00,2394.7933,2400.4639,2367.1131,2374.3148,914210.0
IF99,,IF99,20140806,00:00:00,2374.5104,2385.2428,2343.8692,2367.8689,966081.0
