0,net,hold,trade,commission,slipp
2018-1-30 14:40,0,0,0,0,0
2018-1-30 14:45,40,40,0,0,0
2018-1-30 14:50,0,0,0,0,0
2018-1-30 14:55,-80,-80,0,0,0
2018-1-30 15:00,40,40,0,0,0
2018-1-30 21:05,-80,-80,0,0,0
2018-1-30 21:10,-120,-120,0,0,0
2018-1-30 21:15,80,80,0,0,0
2018-1-30 21:20,-40,-40,0,0,0
2018-1-30 21:25,40,40,0,0,0
2018-1-30 21:30,120,120,0,0,0
2018-1-30 21:35,-80,-80,0,0,0
2018-1-30 21:40,0,0,0,0,0
2018-1-30 21:45,0,0,0,0,0
2018-1-30 21:50,0,0,0,0,0
2018-1-30 21:55,0,0,0,0,0
2018-1-30 22:00,0,0,0,0,0
2018-1-30 22:05,0,0,0,0,0
2018-1-30 22:10,-40,-40,0,0,0
2018-1-30 22:15,0,0,0,0,0
2018-1-30 22:20,240,240,0,0,0
2018-1-30 22:25,-40,-40,0,0,0
2018-1-30 22:30,-40,-40,0,0,0
2018-1-30 22:35,0,0,0,0,0
2018-1-30 22:40,-120,-120,0,0,0
2018-1-30 22:45,0,0,0,0,0
2018-1-30 22:50,-40,-40,0,0,0
2018-1-30 22:55,0,0,0,0,0
2018-1-30 23:00,-40,-40,0,0,0
2018-1-30 23:05,0,0,0,0,0
2018-1-30 23:10,80,80,0,0,0
2018-1-30 23:15,40,40,0,0,0
2018-1-30 23:20,0,0,0,0,0
2018-1-30 23:25,-80,-80,0,0,0
2018-1-30 23:30,0,0,0,0,0
2018-1-31 9:05,-280,-280,0,0,0
2018-1-31 9:10,-40,-40,0,0,0
2018-1-31 9:15,80,80,0,0,0
2018-1-31 9:20,0,0,0,0,0
2018-1-31 9:25,120,120,0,0,0
2018-1-31 9:30,-120,-120,0,0,0
2018-1-31 9:35,40,40,0,0,0
2018-1-31 9:40,-80,-80,0,0,0
2018-1-31 9:45,-40,-40,0,0,0
2018-1-31 9:50,-40,-40,0,0,0
2018-1-31 9:55,0,0,0,0,0
2018-1-31 10:00,80,80,0,0,0
2018-1-31 10:05,0,0,0,0,0
2018-1-31 10:10,-80,-80,0,0,0
2018-1-31 10:15,0,0,0,0,0
2018-1-31 10:35,0,0,0,0,0
2018-1-31 10:40,40,40,0,0,0
2018-1-31 10:45,-40,-40,0,0,0
2018-1-31 10:50,40,40,0,0,0
2018-1-31 10:55,0,0,0,0,0
2018-1-31 11:00,0,0,0,0,0
2018-1-31 11:05,0,0,0,0,0
2018-1-31 11:10,40,40,0,0,0
2018-1-31 11:15,0,0,0,0,0
2018-1-31 11:20,-40,-40,0,0,0
2018-1-31 11:25,0,0,0,0,0
2018-1-31 11:30,80,80,0,0,0
2018-1-31 13:35,0,0,0,0,0
2018-1-31 13:40,0,0,0,0,0
2018-1-31 13:45,160,160,0,0,0
2018-1-31 13:50,-80,-80,0,0,0
2018-1-31 13:55,0,0,0,0,0
2018-1-31 14:00,0,0,0,0,0
2018-1-31 14:05,-40,-40,0,0,0
2018-1-31 14:10,-40,-40,0,0,0
2018-1-31 14:15,0,0,0,0,0
2018-1-31 14:20,160,160,0,0,0
2018-1-31 14:25,-120,-120,0,0,0
2018-1-31 14:30,80,80,0,0,0
2018-1-31 14:35,120,120,0,0,0
2018-1-31 14:40,-80,-80,0,0,0
2018-1-31 14:45,0,0,0,0,0
2018-1-31 14:50,-120,-120,0,0,0
2018-1-31 14:55,0,0,0,0,0
2018-1-31 15:00,160,160,0,0,0
2018-1-31 21:05,-50.8,0,0,10.8,40
2018-1-31 21:10,0,0,0,0,0
2018-1-31 21:15,0,0,0,0,0
2018-1-31 21:20,0,0,0,0,0
2018-1-31 21:25,0,0,0,0,0
2018-1-31 21:30,0,0,0,0,0
2018-1-31 21:35,0,0,0,0,0
2018-1-31 21:40,0,0,0,0,0
2018-1-31 21:45,0,0,0,0,0
2018-1-31 21:50,0,0,0,0,0
2018-1-31 21:55,0,0,0,0,0
