code,name,industry,area
002142,宁波银行,银行,浙江
002150,通润装备,机械基件,江苏
002107,沃华医药,中成药,山东
002688,金河生物,化学制药,内蒙
002307,北新路桥,建筑施工,新疆
002152,广电运通,电脑设备,广东
002721,金一文化,服饰,北京
002733,雄韬股份,电气设备,深圳
002422,科伦药业,化学制药,四川
002145,中核钛白,化工原料,甘肃
002646,青青稞酒,白酒,青海
002619,巨龙管业,水泥,浙江
002237,恒邦股份,黄金,山东
002401,中海科技,软件服务,上海
002382,蓝帆医疗,医疗保健,山东
002644,佛慈制药,中成药,甘肃
002284,亚太股份,汽车配件,浙江
002201,九鼎新材,玻璃,江苏
002574,明牌珠宝,服饰,浙江
002311,海大集团,饲料,广东
002331,皖通科技,软件服务,安徽
002607,亚夏汽车,汽车服务,安徽
002785,万里石,其他建材,福建
002432,九安医疗,医疗保健,天津
002122,天马股份,机械基件,浙江
002394,联发股份,纺织,江苏
002348,高乐股份,文教休闲,广东
002153,石基信息,软件服务,北京
002151,北斗星通,通信设备,北京
002472,双环传动,机械基件,浙江
002544,杰赛科技,软件服务,广东
002288,超华科技,元器件,广东
002088,鲁阳节能,矿物制品,山东
002531,天顺风能,电气设备,江苏
002079,苏州固锝,半导体,江苏
002739,万达院线,影视音像,北京
002440,闰土股份,染料涂料,浙江
002705,新宝股份,家用电器,广东
002444,巨星科技,轻工机械,浙江
002078,太阳纸业,造纸,山东
002628,成都路桥,建筑施工,四川
002377,国创高新,石油加工,湖北
002562,兄弟科技,化工原料,浙江
002314,南山控股,区域地产,深圳
002662,京威股份,汽车配件,北京
002713,东易日盛,装修装饰,北京
002020,京新药业,化学制药,浙江
002262,恩华药业,化学制药,江苏
002554,惠博普,石油开采,北京
002345,潮宏基,服饰,广东
002755,东方新星,建筑施工,北京
002546,新联电子,电气设备,江苏
002519,银河电子,通信设备,江苏
002298,中电鑫龙,软件服务,安徽
002019,亿帆医药,化学制药,浙江
002354,天神娱乐,互联网,辽宁
002300,太阳电缆,电气设备,福建
002305,南国置业,区域地产,湖北
002617,露笑科技,电气设备,浙江
002702,海欣食品,食品,福建
002067,景兴纸业,造纸,浙江
002413,雷科防务,通信设备,江苏
002003,伟星股份,服饰,浙江
002160,常铝股份,铝,江苏
002423,*ST中特,特种钢,河南
002748,世龙实业,化工原料,江西
002365,永安药业,化学制药,湖北
002242,九阳股份,家用电器,山东
002657,中科金财,软件服务,北京
002635,安洁科技,电脑设备,江苏
002073,软控股份,软件服务,山东
002781,奇信股份,装修装饰,深圳
002023,海特高新,航空,四川
002011,盾安环境,工程机械,浙江
002605,姚记扑克,文教休闲,上海
002676,顺威股份,塑料,广东
002249,大洋电机,电气设备,广东
002313,日海通讯,通信设备,深圳
002224,三 力 士,橡胶,浙江
002174,游族网络,互联网,福建
002439,启明星辰,软件服务,北京
002614,蒙发利,医疗保健,福建
002166,莱茵生物,中成药,广西
002030,达安基因,生物制药,广东
002561,徐家汇,百货,上海
002014,永新股份,塑料,安徽
002656,摩登大道,服饰,广东
002317,众生药业,中成药,广东
002264,新 华 都,超市连锁,福建
002758,华通医药,医药商业,浙江
